N1	N1CS	D:\Application Data\SolidWorks\Nozzle A.SLDPRT	DN 100	Coordinate System1
N2	N2CS	D:\Application Data\SolidWorks\Nozzle A.SLDPRT	DN 50	Coordinate System1
N3	N3CS	D:\Application Data\SolidWorks\Nozzle A.SLDPRT	DN 50	Coordinate System1
N4	N4CS	D:\Application Data\SolidWorks\Nozzle A.SLDPRT	DN 50	Coordinate System1
N5	N5CS	D:\Application Data\SolidWorks\Nozzle A.SLDPRT	DN 100	Coordinate System1
N6	N6CS	D:\Application Data\SolidWorks\Nozzle A.SLDPRT	DN 100	Coordinate System1
N7	N7CS	D:\Application Data\SolidWorks\Nozzle A.SLDPRT	DN 100	Coordinate System1
N8	N8CS	D:\Application Data\SolidWorks\Nozzle A.SLDPRT	DN 100	Coordinate System1
N10	N10CS	D:\Application Data\SolidWorks\Nozzle A.SLDPRT	DN 65	Coordinate System1
M	MCS	D:\Application Data\SolidWorks\Nozzle A.SLDPRT	DN 500	Coordinate System1

