PN	DN	Di1	Di2	Dw	DK	C	DS	HS	H	M	N	Weight	Material
2.5	10	18	15	75	50	12	33	2	3	10	4	0.31	Q235-A
2.5	15	22	19	80	55	12	38	2	3	10	4	0.35	Q235-A
2.5	20	27.5	26	90	65	14	48	2	3	10	4	0.53	Q235-A
2.5	25	34.5	33	100	75	14	58	2	3	10	4	0.64	Q235-A
2.5	32	43.5	39	120	90	16	69	2	3	12	4	1.05	Q235-A
2.5	40	49.5	46	130	100	16	78	2	4	12	4	1.22	Q235-A
2.5	50	61.5	59	140	110	16	88	2	4	12	4	1.35	Q235-A
2.5	65	77.5	78	160	130	16	108	2	4	12	4	1.69	Q235-A
2.5	80	90.5	91	190	150	18	124	2	4	16	4	2.71	Q235-A
2.5	100	116	110	210	170	18	144	2	4	16	4	2.98	Q235-A
2.5	125	142	135	240	200	20	174	2	5	16	8	4.01	Q235-A
2.5	150	171	161	265	225	20	199	2	5	16	8	4.41	Q235-A
2.5	200	222	222	320	280	22	254	2	8	16	8	6.45	Q235-A
2.5	250	277	276	375	335	24	309	2	8	16	12	8.41	Q235-A
2.5	300	328	328	440	395	24	363	2	9	20	12	11.2	Q235-A
2.5	350	360	380	490	445	26	413	2	11	20	12	16.1	Q235-A
2.5	400	411	430	540	495	28	463	2	11	20	16	19	Q235-A
2.5	450	462	484	595	550	30	518	2	11	20	16	23.6	Q235-A
2.5	500	514	534	645	600	32	568	2	11	20	20	27.1	Q235-A
2.5	600	617	634	755	705	36	667	2	12	24	20	37.8	Q235-A
2.5	700	715	724	860	810	36	772	5	12	24	24	43.2	Q235-A
2.5	800	817	824	975	920	38	878	5	12	27	24	56.4	Q235-A
2.5	900	918	924	1075	1020	40	978	5	12	27	24	66.4	Q235-A
2.5	1000	1020	1024	1175	1120	42	1078	5	13	27	28	75.6	Q235-A
2.5	1200	1224	1224	1375	1320	44	1295	5	14	27	32	93	Q235-A
2.5	1400	1424	1424	1575	1520	48	1510	5	15	27	36	119.2	Q235-A
2.5	1600	1624	1624	1790	1730	51	1710	5	16	27	40	159.4	Q235-A
2.5	1800	1824	1824	1990	1930	54	1918	5	17	27	44	190.1	Q235-A
2.5	2000	2024	2024	2190	2130	58	2125	5	18	27	48	227.4	Q235-A
6	10	18	15	75	50	12	33	2	3	10	4	0.31	Q235-A
